,house,title,first_name,last_name,constituency,prov_territory,political_affiliation,start_date,name,screen_name
1,commons,,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,9/20/21 0:00,Ziad Aboultaif,ziad_aboultaif
2,commons,,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,9/20/21 0:00,Yvonne Jones,YvonneJJones
3,commons,,Yves,Perron,Berthier?”MaskinongÃ©,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Yves Perron,yvesperronbq
4,commons,,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,9/20/21 0:00,Yvan Baker,Yvan_Baker
5,commons,,Yves,Robillard,Marc-AurÃ¨le-Fortin,Quebec,Liberal,9/20/21 0:00,Yves Robillard,YRobillardPLC
6,commons,,Yves-FranÃ§ois,Blanchet,Beloeil?”Chambly,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Yves-FranÃ§ois Blanchet,yfblanchet
7,commons,,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,9/20/21 0:00,Yasir Naqvi,Yasir_Naqvi
8,commons,,Ya'ara,Saks,York Centre,Ontario,Liberal,9/20/21 0:00,Ya'ara Saks,YaaraSaks
9,commons,,Xavier,Barsalou-Duval,Pierre-Boucher?”Les Patriotes?”VerchÃ¨res,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Xavier Barsalou-Duval,XBarsalouDuval
10,commons,,Wilson,Miao,Richmond Centre,British Columbia,Liberal,9/20/21 0:00,Wilson Miao,WilsonMiaoRC
11,commons,,Len,Webber,Calgary Confederation,Alberta,Conservative,9/20/21 0:00,Len Webber,Webber4Confed
12,commons,,Wayne,Long,Saint John?”Rothesay,New Brunswick,Liberal,9/20/21 0:00,Wayne Long,WayneLongSJ
13,commons,,Warren,Steinley,Regina?”Lewvan,Saskatchewan,Conservative,9/20/21 0:00,Warren Steinley,WarrenSteinley
14,commons,,Viviane,Lapointe,Sudbury,Ontario,Liberal,9/20/21 0:00,Viviane Lapointe,VivianeLapointe
15,commons,,Arif,Virani,Parkdale?”High Park,Ontario,Liberal,9/20/21 0:00,Arif Virani,viraniarif
16,commons,,Vance,Badawey,Niagara Centre,Ontario,Liberal,9/20/21 0:00,Vance Badawey,VBadawey
17,commons,,Adam,van Koeverden,Milton,Ontario,Liberal,9/20/21 0:00,Adam van Koeverden,vankayak
18,commons,,Valerie,Bradford,Kitchener South?”Hespeler,Ontario,Liberal,9/20/21 0:00,Valerie Bradford,ValBradfordMP
19,commons,,Ryan,Turnbull,Whitby,Ontario,Liberal,9/20/21 0:00,Ryan Turnbull,TurnbullWhitby
20,commons,,Denis,Trudel,Longueuil?”Saint-Hubert,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Denis Trudel,trudel_denis
21,commons,,Tracy,Gray,Kelowna?”Lake Country,British Columbia,Conservative,9/20/21 0:00,Tracy Gray,TracyGrayKLC
22,commons,,Tony,Van Bynen,Newmarket?”Aurora,Ontario,Liberal,9/20/21 0:00,Tony Van Bynen,TonyVanBynen
23,commons,,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,9/20/21 0:00,Tony Baldinelli,Tony_Baldinelli
24,commons,,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,9/20/21 0:00,Tom Kmiec,tomkmiec
25,commons,,Todd,Doherty,Cariboo?”Prince George,British Columbia,Conservative,9/20/21 0:00,Todd Doherty,ToddDohertyMP
26,commons,Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,9/20/21 0:00,Tim Uppal,TimUppal
27,commons,,Tim,Louis,Kitchener?”Conestoga,Ontario,Liberal,9/20/21 0:00,Tim Louis,TimLouisKitCon
28,commons,,Jagmeet,Singh,Burnaby South,British Columbia,NDP,9/20/21 0:00,Jagmeet Singh,theJagmeetSingh
29,commons,,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,9/20/21 0:00,Terry Sheehan,TerrySheehanMP
30,commons,,Terry,Duguid,Winnipeg South,Manitoba,Liberal,9/20/21 0:00,Terry Duguid,TerryDuguid
31,commons,,Terry,Dowdall,Simcoe?”Grey,Ontario,Conservative,9/20/21 0:00,Terry Dowdall,TerryDowdall
32,commons,,Terry,Beech,Burnaby North?”Seymour,British Columbia,Liberal,9/20/21 0:00,Terry Beech,terrybeech
33,commons,,Taylor,Bachrach,Skeena?”Bulkley Valley,British Columbia,NDP,9/20/21 0:00,Taylor Bachrach,taylorbachrach
34,commons,,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,9/20/21 0:00,Taleeb Noormohamed,Taleeb
35,commons,,Tako,Van Popta,Langley?”Aldergrove,British Columbia,Conservative,9/20/21 0:00,Tako Van Popta,takovanpopta
36,commons,,Sylvie,BÃ©rubÃ©,Abitibi?”Baie-James?”Nunavik?”Eeyou,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Sylvie BÃ©rubÃ©,SylvieFBerube
37,commons,,Sukh,Dhaliwal,Surrey?”Newton,British Columbia,Liberal,9/20/21 0:00,Sukh Dhaliwal,sukhdhaliwal
38,commons,Hon.,Steven,MacKinnon,Gatineau,Quebec,Liberal,9/20/21 0:00,Steven MacKinnon,stevenmackinnon
39,commons,,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,9/20/21 0:00,Stephanie Kusie,StephanieKusie
40,commons,,StÃ©phane,Lauzon,Argenteuil?”La Petite-Nation,Quebec,Liberal,9/20/21 0:00,StÃ©phane Lauzon,stephanelauzon5
41,commons,Hon.,Diane,Lebouthillier,GaspÃ©sie?”Les ÃŽles-de-la-Madeleine,Quebec,Liberal,9/20/21 0:00,Diane Lebouthillier,stephanelauzon5
42,commons,Hon.,Dan,Vandal,Saint Boniface?”Saint Vital,Manitoba,Liberal,9/20/21 0:00,Dan Vandal,stbstvdan
43,commons,,Soraya,Martinez Ferrada,Hochelaga,Quebec,Liberal,9/20/21 0:00,Soraya Martinez Ferrada,SorayaMartinezF
44,commons,,Sophie,Chatel,Pontiac,Quebec,Liberal,9/20/21 0:00,Sophie Chatel,SophieChatel1
45,commons,,Sonia,Sidhu,Brampton South,Ontario,Liberal,9/20/21 0:00,Sonia Sidhu,SoniaLiberal
46,commons,,Sherry,Romanado,Longueuil?”Charles-LeMoyne,Quebec,Liberal,9/20/21 0:00,Sherry Romanado,SherryRomanado
47,commons,,Shelby,Kramp-Neuman,Hastings?”Lennox and Addington,Ontario,Conservative,9/20/21 0:00,Shelby Kramp-Neuman,Shelby_Kramp
