constituency,party_before,name,party_member,notes,screen_name,user_id
Aberavon,Labour,Stephen Kinnock,Labour,Seat held,SKinnock,722347303
West Tyrone,Sinn FÃ©in,Ã“rfhlaith Begley,Sinn FÃ©in,Seat held,orfhlaithbegley,
Aberdeen North,Scottish National,Kirsty Blackman,Scottish National,Seat held,KirstySNP,2616215901
Newcastle-under-Lyme,Labour,Aaron Bell,Conservative,"Previous incumbent, Paul Farrelly, did not stand",AaronBell4NUL,
Airdrie and Shotts,Scottish National,Neil Gray,Scottish National,Seat held,neilgraysnp,287212988
Aldershot,Conservative,Leo Docherty,Conservative,Seat held,LeoDochertyUK,562385310
Aldridge-Brownhills,Conservative,Wendy Morton,Conservative,Seat held,morton_wendy,813678139
Erith and Thamesmead,Labour,Abena Oppong-Asare,Labour,"Previous incumbent, Teresa Pearce, did not stand",abenaopp,
Alyn and Deeside,Labour,Mark Tami,Labour,Seat held,MarkTamiMP,2278921206
Amber Valley,Conservative,Nigel Mills,Conservative,Seat held,nigelmills,995322806
Gravesham,Conservative,Adam Holloway,Conservative,Seat held,AdamHollowayMP,
Manchester Gorton,Labour,Afzal Khan,Labour,Seat held,Afzal4Gorton,
Argyll and Bute,Scottish National,Brendan O'Hara,Scottish National,Seat held,BrendanOHaraMP,2942626846
Havant,Conservative,Alan Mak,Conservative,Seat held,AlanMakMP,2157036506
Pontypridd,Labour,Alex Davies-Jones,Labour,"Previous incumbent, Owen Smith, did not stand",AlexDaviesJones,
Ashford,Conservative,Damian Green,Conservative,Seat held,DamianGreen,422184091
Leeds North West,Labour Co-operative,Alex Sobel,Labour Co-operative,Seat held,alexsobel,15726425
Rother Valley,Labour,Alexander Stafford,Conservative,"Previous incumbent, Kevin Barron, did not stand",Alex_Stafford,
Rutland and Melton,Conservative,Alicia Kearns,Conservative,"Previous incumbent, Alan Duncan, did not stand",aliciakearns,
Banbury,Conservative,Victoria Prentis,Conservative,Seat held,VictoriaPrentis,2862527512
Glasgow Central,Scottish National,Alison Thewliss,Scottish National,Seat held,alisonthewliss,116459535
Barking,Labour,Margaret Hodge,Labour,Seat held,margarethodge,111411358
Barnsley Central,Labour,Dan Jarvis,Labour,Seat held,DanJarvisMP,240202308
Barnsley East,Labour,Stephanie Peacock,Labour,Seat held,Steph_Peacock,51062977
Dumfries and Galloway,Conservative,Alister Jack,Conservative,Seat held,none,none
"Ayr, Carrick and Cumnock",Conservative,Allan Dorans,Scottish National,"Previous incumbent, Bill Grant, did not stand",allandoransMP,
Stirling,Conservative,Alyn Smith,Scottish National,"Defeated incumbent, Stephen Kerr",AlynSmith,
Derby North,Independent[g],Amanda Solloway,Conservative,"Defeated incumbent, Chris Williamson",ASollowayUK,
East Dunbartonshire,Liberal Democrats,Amy Callaghan,Scottish National,"Defeated incumbent, Jo Swinson",AmyCallaghanSNP,
West Aberdeenshire and Kincardine,Conservative,Andrew Bowie,Conservative,Seat held,AndrewBowie_MP,
Battersea,Labour,Marsha de Cordova,Labour,Seat held,MarshadeCordova,189280488
Arundel and South Downs,Conservative,Andrew Griffith,Conservative,"Previous incumbent, Nick Herbert, did not stand",griffitha,
Denton and Reddish,Labour,Andrew Gwynne,Labour,Seat held,GwynneMP,
Sutton Coldfield,Conservative,Andrew Mitchell,Conservative,Seat held,none,none
Belfast East,DUP,Gavin Robinson,DUP,Seat held,GRobinsonDUP,249845912
Brigg and Goole,Conservative,Andrew Percy,Conservative,Seat held,none,none
Hammersmith,Labour,Andrew Slaughter,Labour,Seat held,hammersmithandy,66078636
Belfast West,Sinn FÃ©in,Paul Maskey,Sinn FÃ©in,Seat held,PaulMaskeyMP,80812413
Bermondsey and Old Southwark,Labour,Neil Coyle,Labour,Seat held,coyleneil,248186795
Berwick-upon-Tweed,Conservative,Anne-Marie Trevelyan,Conservative,Seat held,annietrev,20229729
Warrington South,Labour,Andy Carter,Conservative,"Defeated incumbent, Faisal Rashid",MrAndy_Carter,
Wallasey,Labour,Angela Eagle,Labour,Seat held,angelaeagle,124270074
Beverley and Holderness,Conservative,Graham Stuart,Conservative,Seat held,grahamstuart,14395178
Bexhill and Battle,Conservative,Huw Merriman,Conservative,Seat held,HuwMerriman,2902930059
Bexleyheath and Crayford,Conservative,David Evennett,Conservative,Seat held,DavidEvennettMP,17298241
Ashton-under-Lyne,Labour,Angela Rayner,Labour,Seat held,AngelaRayner,222748037
Guildford,Independent[h],Angela Richardson,Conservative,"Defeated incumbent, Anne Milton",AJRichardsonMP,
Birmingham Erdington,Labour,Jack Dromey,Labour,Seat held,JackDromeyMP,387054267
Na h-Eileanan an Iar,Scottish National,Angus MacNeil,Scottish National,Seat held,AngusMacNeilSNP,46609085
Birmingham Hodge Hill,Labour,Liam Byrne,Labour,Seat held,liambyrnemp,27212119
Birmingham Ladywood,Labour,Shabana Mahmood,Labour,Seat held,ShabanaMahmood,407741330
Cardiff North,Labour,Anna McMorrin,Labour,Seat held,AnnaMcMorrin,14590758
Birmingham Perry Barr,Labour,Khalid Mahmood,Labour,Seat held,khalid4PB,3030160806
Birmingham Selly Oak,Labour,Steve McCabe,Labour,Seat held,steve_mccabe,21408041
Birmingham Yardley,Labour,Jess Phillips,Labour,Seat held,jessphillips,20000725
Glasgow North East,Labour Co-operative,Anne McLaughlin,Scottish National,"Defeated incumbent, Paul Sweeney",annemclaughlin,
Blackburn,Labour,Kate Hollern,Labour,Seat held,Kate_HollernMP,191074455
Oxford East,Labour Co-operative,Anneliese Dodds,Labour Co-operative,Seat held,AnnelieseDodds,518660800
Blackpool North and Cleveleys,Conservative,Paul Maynard,Conservative,Seat held,PaulMaynardUK,15133808
South Cambridgeshire,Liberal Democrats[h],Anthony Browne,Conservative,"Previous incumbent, Heidi Allen, did not stand",ab4scambs,
Blaenau Gwent,Labour,Nick Smith,Labour,Seat held,BlaenauGwentMP,532351874
Blaydon,Labour,Liz Twist,Labour,Seat held,LizTwistMP,8.57641E+17
Totnes,Liberal Democrats[h],Anthony Mangnall,Conservative,"Defeated incumbent, Sarah Wollaston",anthonymangnal1,
Bognor Regis and Littlehampton,Conservative,Nick Gibb,Conservative,Seat held,NickGibbUK,3036280263
Burnley,Labour,Antony Higginbotham,Conservative,"Defeated incumbent, Julie Cooper",antony_hig,
